customer_id,age,gender,membership,tenure,monthly_charge,login_frequency,support_tickets,payment_delays,feature_usage,last_login,churned
53d0eec4-ff89-47f5-be9f-85dbb167459a,35,M,Basic,258,24.5,5,1,5,9,12,0
d5d1f22a-fa08-4933-9412-02254ed1e927,31,M,Enterprise,95,25.36,20,0,4,4,84,1
43bbf74b-b77b-4ae8-8dac-75f3a5c2cfd7,55,F,Basic,889,59.68,25,2,5,7,44,1
cbab41f5-e234-47f6-8d9a-fe353042804c,39,M,Basic,470,192.3,13,1,2,6,78,1
da195db6-2ae4-407b-8a28-7031a27887db,52,M,Premium,118,151.35,3,8,2,10,47,0
9169374b-35fa-4190-a94d-a278af3e2b1e,32,F,Basic,172,28.25,28,3,6,2,49,1
188da847-04d3-4e88-bcd8-12528ae0c419,40,M,Enterprise,777,49.28,9,10,5,2,78,1
bb5f1f67-d9e1-437a-87c5-19fc9ed2cb86,42,F,Enterprise,531,49.41,23,8,1,6,8,1
42aff782-06ba-417d-9523-0d75c45ec826,43,F,Basic,95,164.91,7,9,5,6,28,0
c11d9d19-5c04-40fb-b41a-43b299c5beb4,59,F,Basic,840,179.24,9,2,1,9,69,1
19bae83d-df4d-4f3e-8f4a-3fa4bb2812ed,43,F,Basic,907,181.61,5,8,3,2,7,0
699ae644-2692-4a0f-a22c-c25ba2fe05e4,68,F,Enterprise,343,132.94,3,6,3,10,60,1
ee4e98da-5f0f-44f6-8265-25aff5678fba,25,F,Enterprise,53,142.45,11,1,2,7,21,0
f324dca8-988f-42c7-9f31-2db81682c46a,66,M,Enterprise,569,194.94,30,1,6,5,82,1
822acbd8-4d39-4613-82fc-2c6d50a46ac4,66,M,Enterprise,437,47.51,25,8,0,10,42,0
07f00fec-7bea-432e-bc8d-7e3a1fe713d9,74,F,Basic,259,187.24,2,3,4,2,11,0
59c99db1-99c3-434f-9a23-06685103cb95,52,M,Basic,171,196.04,22,7,4,3,34,1
5cff4d91-8823-4fde-b845-9732c4532e01,77,M,Enterprise,896,193.59,10,6,5,6,57,1
f82babda-86d8-4af0-9145-2a1c640ed7f2,32,M,Premium,954,41.78,1,9,4,4,76,1
189d3a4f-fcff-44a2-b098-8f60292f83dd,21,M,Basic,175,147.41,29,0,6,6,10,1
3536b96b-7e3e-411b-94a1-53e7b9742fe5,31,M,Enterprise,600,140.42,30,9,4,8,32,0
debaf0d6-790d-456f-8921-57d0e2b2587c,24,F,Premium,863,54.27,14,6,3,1,87,1
beb92c26-ba9d-4f5c-a800-db1331f188b0,64,F,Basic,231,30.91,8,3,1,9,58,1
07a222ce-8693-4ad3-b651-229881359973,33,M,Premium,405,70.14,26,8,0,1,84,0
8eefefed-af94-4d91-9c3f-93fa61bfd00d,77,M,Basic,60,194.42,14,7,3,4,52,0
45ff0b3b-f1f3-47cb-93ab-074cb422f879,42,F,Premium,367,88.22,10,6,5,9,85,1
ae86baaa-bf8f-4788-9e2c-9a4b44aa1b17,31,M,Enterprise,347,54.18,24,8,0,6,8,1
a45bfa19-8602-466d-aa26-34d6fe5050ad,72,M,Basic,1006,110.51,17,1,6,3,9,1
574d67d0-ed2e-4aa5-860a-9cddd1ff798d,78,M,Enterprise,511,92.68,20,0,4,2,54,1
7d1e788c-1c09-4189-8727-48b7080932ee,31,F,Basic,677,188.25,9,6,1,5,59,1
09afee06-c92e-454b-9af7-76918a3c1c68,57,M,Basic,178,21.68,18,3,4,5,17,0
7e1bf20f-776e-4af3-9981-20d2db7a5abf,41,F,Basic,170,178.27,15,8,5,5,79,0
1b4f6f74-a7b2-4983-b082-ba83efc49083,53,F,Enterprise,46,140.22,4,2,2,2,14,0
f1cae755-97e4-4597-8c9c-466e28a437d0,56,M,Enterprise,348,69.02,11,3,5,5,65,1
89e9393a-2021-4e96-92d0-75f5401af5c8,45,F,Basic,134,36.61,1,5,6,3,82,0
16b85edb-33c0-45fa-9db1-dc6e8ffc0bb6,53,F,Enterprise,360,153.42,1,1,0,3,70,1
4e4d27c7-8f87-41ca-aabb-36fe4de86417,27,F,Basic,786,124.85,2,4,2,1,46,1
d06f88de-bfa1-46e1-afc4-fb712cb7b057,40,F,Enterprise,541,140.05,24,2,1,3,23,0
5ec5f133-b8c3-44c6-a49b-a6d95841bbc3,77,F,Premium,80,52.28,26,10,6,4,35,1
d839ab4a-8f4d-4793-8337-f2236c961428,20,F,Basic,251,88.86,7,7,2,5,30,1
bdaa0f6e-ba4c-41e3-96fd-a8016af23ee5,35,M,Premium,425,91.72,12,10,4,7,87,0
12a830b5-c568-4fa6-baa2-7c8f8482e128,25,F,Basic,708,189.06,19,4,0,2,77,1
c045dc42-3862-4ae4-8bb8-f3ebd12c7c82,80,M,Premium,672,98.55,29,9,1,5,6,0
65f2ea2f-7970-4d46-8c7d-495d61eb7b9c,69,M,Premium,33,113.59,14,1,5,6,80,1
f1b3d837-90c1-40bd-b7f9-2fcfd589880b,37,F,Enterprise,285,149.56,14,5,3,5,71,1
0a3b358f-5a90-4e35-a8b1-cbbefc46aaef,42,M,Enterprise,891,139.69,19,4,3,9,1,1
9eefefe7-3082-4849-b774-4134a76954e7,55,F,Premium,460,97.38,15,7,5,4,66,1
06196644-7fe6-474f-b2e1-83032609b41b,36,F,Basic,377,138.59,27,3,5,5,29,0
cf146c08-b7ab-4c47-ae0b-dc97d6afd4bf,33,F,Enterprise,331,24.4,28,1,3,7,81,1
55aaca88-c11e-4054-9974-46538247c15b,33,M,Enterprise,816,108.99,23,0,6,2,55,1
41a1d40d-6b31-4376-9ea9-6e847c01f9ae,53,M,Basic,1090,103.62,15,2,6,8,86,1
d8a59ead-b227-4362-86e9-fb263c7ada84,75,F,Enterprise,679,191.01,27,8,3,9,58,0
877aaca1-62f2-477d-9a85-878c52145f9d,66,M,Enterprise,1002,101.01,9,8,3,4,36,1
3585d826-e21d-47dc-b4bb-23672ea1c9b8,39,F,Enterprise,615,62.21,3,2,1,4,50,0
64a1cad4-d2e7-45a2-ab98-6b32ee5c2826,44,F,Enterprise,468,31.56,15,6,0,4,54,1
a40dee49-be94-483c-9a3b-f55ed0f0eb78,66,F,Premium,70,174.21,1,5,2,7,54,1
fbb26ace-7610-4b15-87e5-fa2857aeb639,35,F,Premium,481,107.88,1,6,2,7,22,0
